AffyID;logFC;AveExpr;t;P.Value;adj.P.Val;B
10363224;3,958682468;8,835485738;10,18837473;3,49E-06;6,73E-05;4,966394396
10426397;3,249908438;7,549305885;10,18459086;3,50E-06;6,73E-05;4,96319941
10481627;3,345699274;8,355749073;10,0992026;3,75E-06;7,00E-05;4,89080267
10366229;3,766892922;8,017091775;10,09323942;3,77E-06;7,02E-05;4,885725378
10503416;5,801597797;7,419620662;10,06137873;3,86E-06;7,14E-05;4,858550343
10545086;3,459713294;8,668876795;10,03298909;3,95E-06;7,18E-05;4,834268134
10504188;3,524260679;8,556520153;10,02046329;4,00E-06;7,22E-05;4,823534204
10342364;-3,968896861;5,452975615;-9,883911492;4,47E-06;7,73E-05;4,70570086
10352234;3,008172508;8,90580758;9,843045723;4,62E-06;7,94E-05;4,670143738
10598359;3,825820997;8,597292767;9,834415854;4,66E-06;7,98E-05;4,662617501
10504159;3,576912111;8,539747332;9,812073971;4,75E-06;8,02E-05;4,643104483
10512322;3,576912111;8,539747332;9,812073971;4,75E-06;8,02E-05;4,643104483
10575880;3,74182244;8,1853044;9,805424926;4,77E-06;8,05E-05;4,637289415
10485546;3,086576644;7,979511798;9,71279951;5,16E-06;8,47E-05;4,555902517
10358664;-4,22823372;8,204333772;-9,646390423;5,45E-06;8,81E-05;4,497111921
10492628;3,089528214;7,750718422;9,545546789;5,94E-06;9,35E-05;4,407127091
10512372;3,653995742;8,447451844;9,537053532;5,98E-06;9,40E-05;4,399508962
10394240;4,322163157;8,685194388;9,52707948;6,03E-06;9,46E-05;4,390554751
10431711;3,012196889;9,712150868;9,423678375;6,59E-06;9,95E-05;4,297222874
10474814;3,411476702;7,977321558;9,339117902;7,09E-06;0,000104215;4,220207784
10536324;3,211732218;8,179362673;9,3105399;7,27E-06;0,000106153;4,194038159
10458685;3,099495117;7,321652598;9,254539508;7,64E-06;0,000109668;4,142547923
10344973;3,018487065;7,398071372;9,205113368;7,98E-06;0,000112704;4,096870804
10453518;3,357514036;7,415957264;9,145392362;8,41E-06;0,000117255;4,041387588
10359504;-4,10718504;7,521300209;-9,127909685;8,54E-06;0,000118569;4,02508462
10486201;3,204149215;7,020420408;9,112618176;8,65E-06;0,000119439;4,010802266
10425726;3,067665348;7,982409266;8,936283022;1,01E-05;0,000132023;3,844558271
10351111;-3,112378013;8,796991449;-8,927625052;1,02E-05;0,000132735;3,836321778
10575693;3,211555456;8,659128968;8,805584118;1,14E-05;0,000141619;3,719473961
10529977;3,015235274;6,754422534;8,6232704;1,35E-05;0,000159184;3,542276312
10358670;-3,628437143;9,033324032;-8,623088712;1,35E-05;0,000159184;3,54209812
10416090;3,269021701;8,037030755;8,576379698;1,41E-05;0,00016385;3,496180964
10456363;3,138472142;7,284722052;8,542352341;1,45E-05;0,000167597;3,462595719
10358619;-3,296997144;8,131834879;-8,534725232;1,46E-05;0,000168142;3,455052057
10494372;3,487494853;8,317315684;8,526494655;1,48E-05;0,000169004;3,446905084
10476594;3,492411351;7,395312842;8,494083181;1,52E-05;0,000173099;3,414757638
10395428;3,035001057;6,790310683;8,483851205;1,54E-05;0,000174323;3,404587364
10501063;-3,184927441;8,065795187;-8,471520876;1,55E-05;0,000175458;3,392317548
10571815;4,025893685;7,609175174;8,450205605;1,58E-05;0,000177626;3,371071129
10358567;-3,130572385;7,372921449;-8,421024141;1,63E-05;0,000179847;3,341910233
10358591;-3,340391238;8,44666759;-8,415814559;1,64E-05;0,000180113;3,336695339
10358656;-3,469209313;9,150320872;-8,240305155;1,94E-05;0,000206571;3,159400168
10555510;3,137999735;7,934100001;8,239181872;1,94E-05;0,000206571;3,158255315
10358660;-3,320940523;6,977684951;-8,236327922;1,94E-05;0,000206571;3,155345979
10553501;3,318741287;7,667547543;8,219360077;1,97E-05;0,000208879;3,138031483
10513514;3,046519006;5,598544731;7,987251406;2,48E-05;0,000243174;2,898160879
10544704;3,220229473;7,311048504;7,983876022;2,48E-05;0,000243174;2,89463059
10358654;-3,615351093;8,966451927;-7,901443627;2,70E-05;0,000258153;2,808035413
10358583;-3,991419799;9,051607864;-7,8505424;2,84E-05;0,000267257;2,75419694
10358589;-3,178325198;8,86171142;-7,810991336;2,95E-05;0,00027312;2,712168656
10577641;3,837600091;9,274605437;7,767556447;3,08E-05;0,000281312;2,665815627
10416437;-3,281568933;8,362647671;-7,73295918;3,19E-05;0,000287348;2,628745096
10362091;-3,168719965;6,990630931;-7,723777125;3,22E-05;0,000289733;2,618884381
10601942;-3,268570092;8,873704541;-7,70566398;3,28E-05;0,00029369;2,599405008
10405063;-4,42471469;9,316731673;-7,68341363;3,35E-05;0,00029825;2,57542638
10358587;-3,365730792;6,119798414;-7,665606381;3,42E-05;0,000301607;2,556196149
10358555;-3,087146655;8,001369958;-7,644916119;3,49E-05;0,000305529;2,533807935
10520527;3,016185785;7,942988114;7,502741934;4,04E-05;0,000337563;2,378658894
10603066;3,86063514;7,355030756;7,488676808;4,10E-05;0,000340907;2,363185081
10343498;-3,337650612;5,059895631;-7,458296102;4,23E-05;0,000348495;2,329684067
10358623;-3,160635905;6,755532958;-7,384594842;4,56E-05;0,000368181;2,247970253
10358525;-3,537908861;6,219000693;-7,360431596;4,68E-05;0,000373886;2,221042708
10338485;-3,522729646;5,16648494;-7,221371712;5,42E-05;0,000413349;2,064741439
10358565;-4,251088896;7,704937578;-7,200521277;5,54E-05;0,000419953;2,041108425
10358650;-3,42903741;8,618748742;-7,06551082;6,41E-05;0,000461632;1,88681753
10385096;3,018491893;7,105808158;6,860017282;8,02E-05;0,000523015;1,647711374
10340987;-3,029804659;5,519966334;-6,8077935;8,50E-05;0,000540747;1,58611049
10339105;-3,277122504;5,297456148;-6,762635237;8,94E-05;0,000561381;1,532567459
10498337;3,356048809;7,359976943;6,668393539;9,93E-05;0,000603873;1,4199953
10358581;-4,22030812;8,304525821;-6,656313869;0,000100682;0,000609235;1,405484217
10358561;-3,702486966;7,849966055;-6,603097542;0,000106929;0,000632396;1,341333512
10608661;-3,086545482;7,811781486;-6,59802224;0,000107546;0,000634199;1,335196352
10608648;-3,216394541;7,848965148;-6,588456364;0,000108721;0,000637669;1,323620063
10547227;3,639466216;7,971860038;6,475537485;0,000123697;0,000699455;1,186072837
10593233;3,254208165;7,385337736;6,360319248;0,000141333;0,000763357;1,044004687
10608668;3,680590198;5,113947685;6,326020341;0,0001471;0,000790074;1,001373995
10372648;-3,709053688;10,33654222;-6,252560379;0,000160335;0,000838363;0,909541906
10358577;-3,462810964;7,482624577;-6,199788694;0,000170643;0,000873759;0,843125761
10358529;-3,086213107;8,250335261;-6,181573777;0,000174367;0,000886973;0,820114172
