"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"10427744";-3,1454577626397;9,01092832140005;-16,8176526145583;5,07357157341184e-08;6,26119733226819e-06;9,25865460965722
"10588592";3,9504738310965;8,22507358182011;16,7134809522922;5,35217405530686e-08;6,36390085652889e-06;9,20669603706724
"10476628";4,31292376702807;10,1877882547641;16,7034968405194;5,37975541330335e-08;6,36390085652889e-06;9,20169613340267
"10410995";4,01804743256472;7,27833655991237;16,6815047520328;5,44106721899197e-08;6,36390085652889e-06;9,19067037746192
"10476512";5,25814286806176;8,72199890152749;16,6421021161178;5,5528668288503e-08;6,41031600540913e-06;9,17087297737188
"10421100";4,17252512321469;8,5167472325492;16,6019053864206;5,66955284177061e-08;6,46110964237166e-06;9,15061972230217
"10555389";3,03467735331659;9,62474807775996;16,5758530344887;5,74663182240921e-08;6,46605193283487e-06;9,13746236923246
"10501754";3,65922843035077;8,06661643944836;16,4343127022279;6,1862549772011e-08;6,78798543720929e-06;9,06555331316703
"10385391";3,63751004591442;8,57072393156928;16,4111050719858;6,26183829284691e-08;6,78798543720929e-06;9,05369360687616
"10466210";-3,29070037108158;7,11246369615847;-16,2033916233219;6,98587699098918e-08;7,32869096041392e-06;8,94666774014944
"10542164";-3,05573238537226;6,72529674614522;-16,0945648839085;7,40196168203168e-08;7,6507020222767e-06;8,88995523590722
"10530499";3,31398460412062;7,94986465677745;16,0068910481224;7,75720742065907e-08;7,83566099570891e-06;8,84394206475427
"10565152";4,08990192394165;7,91241453292294;15,9383413655071;8,04815455350663e-08;7,96032812354677e-06;8,8077623717208
"10469672";5,15261252242856;8,32268699373556;15,9356708706873;8,05973147844763e-08;7,96032812354677e-06;8,80634928585412
"10495675";-3,11257275477501;8,2993282477867;-15,8578004224925;8,40557037757074e-08;8,2106719874974e-06;8,76502395483154
"10492689";-3,19482277233123;8,75911602493921;-15,798764664533;8,67873809797161e-08;8,38535901661627e-06;8,73353817268748
"10523134";-3,73676336304545;7,08526215464736;-15,7390849755228;8,96493291599564e-08;8,40025376568077e-06;8,70157133995367
"10474700";-3,17869315166709;11,1881167223855;-15,714175646417;9,08747012406503e-08;8,40025376568077e-06;8,68818776572488
"10506274";3,09511687009656;7,57243464743938;15,7126958607351;9,09480793149277e-08;8,40025376568077e-06;8,68739192445348
"10483215";4,28284858241647;7,88754042485399;15,6982748845989;9,16666233851991e-08;8,40025376568077e-06;8,67963170384308
"10390860";4,3828562703023;7,53770808958627;15,616869433127;9,58427548445853e-08;8,69332905932162e-06;8,63567223455893
"10578264";-3,73350043832983;7,22084790050529;-15,5837981856681;9,75992544039623e-08;8,76323002421031e-06;8,61773868426428
"10360418";4,04851787414936;6,58903319242975;15,4250179831245;1,06545169309992e-07;9,35185620822689e-06;8,53102856426319
"10439695";3,79313224063416;8,93836987067258;15,4217423664311;1,06739055170374e-07;9,35185620822689e-06;8,52922906830568
"10519497";3,65316232889913;9,44863813848405;15,409410629877;1,07472496538072e-07;9,35185620822689e-06;8,52245059795648
"10409616";4,11900142157628;8,68584218877152;15,3945583650073;1,08363279271838e-07;9,35185620822689e-06;8,51427847039676
"10513472";6,82000397099969;7,6201133755896;15,2473396655869;1,17649819477888e-07;9,84104590487316e-06;8,4327880939635
"10576332";3,84630972623927;10,8101179941591;15,2363852631552;1,18375330040413e-07;9,84104590487316e-06;8,42668891399563
"10515095";4,13785469131318;7,08292240180523;15,1929550726103;1,21300946877676e-07;9,84104590487316e-06;8,40245906836099
"10363455";3,21684977197027;8,68468589103845;15,1802283419216;1,2217339342888e-07;9,84104590487316e-06;8,39534397085767
